StockCode,dayofweek,month,ActualQuantity,PredictedQuantity
363,0,10,1,9.572333333333333
285,1,11,20,140.08859523809522
770,1,9,2,6.522595238095238
1669,1,2,30,18.33866666666667
2679,6,7,4,2.08
1823,2,11,1,2.3737023809523814
2039,0,12,12,27.04
1996,3,5,6,7.20757142857143
1970,4,12,3,8.184666666666667
2028,2,3,6,4.724285714285714
176,4,3,100,11.70538095238095
506,2,3,3,1.6136666666666661
1616,1,7,1,3.784833333333333
818,2,12,2,6.136500000000001
1495,0,10,6,11.481142857142858
928,0,4,24,7.183666666666668
1188,1,4,1,4.118095238095238
2023,3,11,8,7.5975238095238105
1118,2,11,10,10.197015873015875
1652,2,4,5,4.157333333333333
908,3,11,10,14.60991666666667
675,1,1,3,5.034166666666667
2011,1,5,12,55.820761904761895
1755,3,10,12,5.112
450,1,12,23,18.018595238095237
2650,1,11,1,4.822440476190477
2412,3,12,1,1.7666666666666666
1591,2,8,4,92.80095238095238
697,6,3,6,5.08
1260,4,1,100,29.62783333333334
1754,2,1,6,17.660833333333333
932,2,4,24,18.00033333333333
926,4,7,1,47.60564285714285
1171,3,9,1,8.053285714285712
847,0,3,4,2.23
1666,3,4,1,6.929666666666667
3321,3,10,11,16.616543650793652
1832,0,9,12,11.9925
2542,6,10,12,6.403261904761904
1283,4,7,13,14.07
1488,1,4,12,414.6957142857142
2133,6,7,22,52.18166666666666
1366,4,5,5,1.4066666666666665
612,3,4,4,3.5852142857142852
1029,6,10,1,13.480607503607509
1036,1,10,3,2.743730769230769
1099,1,11,3,8.827000000000004
1820,1,3,30,31.958166666666667
1467,1,11,14,17.28533333333333
1792,3,8,6,4.969333333333333
880,3,7,3,21.293523809523812
1561,1,2,2,6.2988333333333335
2983,1,10,272,19.520349206349206
2266,3,12,12,21.623698412698413
1934,4,12,6,8.488154761904763
1254,6,4,2,3.199166666666666
1689,0,5,3,1.43
734,0,6,12,34.98
298,2,8,2,42.998666666666665
1616,0,12,3,9.08807142857143
345,2,12,2,28.051166666666667
1443,0,1,4,5.654619047619048
251,1,12,1,1.7519999999999998
198,3,8,8,1.8
166,4,4,26,19.89621428571429
1609,1,12,96,19.269000000000002
3874,4,9,6,1.4995992063492056
2019,1,11,5,11.471369047619048
353,3,2,4,13.8125
816,4,7,24,10.458333333333332
3318,2,12,1,7.74961904761905
796,3,6,2,2.3265714285714285
1833,1,2,1,14.462666666666667
2657,2,11,14,17.11542857142857
2852,6,11,51,16.209833333333336
1613,2,9,6,11.877071428571433
1938,3,12,372,434.5966666666667
1777,1,2,2,16.471333333333337
1053,1,7,3,19.882773809523815
350,4,1,8,12.308333333333335
1704,3,2,6,3.3112142857142857
1486,0,11,25,4.30247619047619
926,6,11,11,27.049380952380957
2895,3,10,2,16.43916666666667
1412,0,10,24,72.04983333333332
3038,3,1,1,2.143714285714286
1170,4,10,19,279.51238095238097
1702,0,8,1,2.555595238095238
392,0,11,1,9.859674603174602
1062,2,12,25,16.213214285714287
1616,3,10,7,12.721000000000002
1335,1,12,1,4.779452380952381
284,6,1,1,7.776
1383,1,10,4,8.641761904761902
1059,1,1,4,2.452111111111111
3014,3,10,1,16.38588095238095
946,3,4,12,16.8025
1255,1,3,1,2.6659761904761905
2143,6,7,27,10.587777777777779
946,3,3,1,20.57653571428572
656,4,12,24,20.971428571428568
1358,3,5,2,6.69245238095238
1549,0,1,1,2.711666666666667
1581,0,4,19,19.025666666666666
1223,2,11,56,61.11221428571429
1475,0,3,1,9.743321428571427
3362,6,2,3,15.880166666666664
2143,2,9,19,13.376
1760,6,4,7,7.43
778,3,10,25,10.69152380952381
1351,3,1,5,6.025333333333333
1848,0,12,31,117.50854761904762
990,4,3,12,1.61375
3291,2,6,12,3.8483333333333336
901,0,11,6,5.345867965367965
2150,1,12,24,44.3654880952381
1858,2,5,48,70.01899999999999
1264,6,9,1,1.6591666666666662
2169,2,11,3,19.128666666666668
47,3,1,25,30.63083333333333
2126,3,11,32,18.44383333333333
1611,0,1,1,7.486666666666666
2374,6,11,25,41.71833333333334
1104,6,7,1,15.874166666666667
294,4,10,4,13.482285714285718
1027,4,9,12,8.480047619047623
344,6,2,1,2.873
3070,3,12,2,2.04
183,6,2,1,2.516666666666667
1645,1,2,7,9.329000000000002
1865,3,3,24,27.635
3550,4,3,1,1.01
3345,0,7,18,13.244666666666665
2224,1,11,31,5.9479285714285695
2231,3,11,4,1.1278333333333332
2087,3,10,2,14.070833333333333
3066,0,3,33,10.714523809523811
3066,4,2,18,23.73766666666666
809,0,1,3,17.65533333333333
1320,2,12,10,5.923333333333333
3179,3,1,3,2.9817857142857145
830,2,2,2,3.527738095238095
1344,6,4,6,11.268166666666666
3249,1,5,24,32.985960317460325
1890,4,9,6,13.492285714285718
1953,0,7,1,10.791666666666668
1028,2,10,12,35.39566666666667
2751,6,11,4,13.557
349,3,8,7,45.93361904761905
1099,1,8,8,2.2075714285714287
1604,6,9,5,11.581333333333335
1659,6,6,1,4.320666666666667
1802,4,11,21,8.30804761904762
909,2,7,28,14.273
2918,4,7,12,6.309166666666666
1538,3,7,5,3.9160555555555563
70,6,11,10,8.270833333333332
1997,0,12,2,14.514666666666665
2932,6,11,2,20.097499999999997
2677,1,12,4,22.85480952380952
3255,3,9,72,12.550500000000001
1142,3,2,6,12.807940476190476
1952,2,7,1,50.534
563,2,2,3,2.0966666666666667
782,4,3,6,4.156
588,0,1,2,3.0202738095238093
1647,4,6,4,4.087071428571429
1531,3,3,33,39.8897619047619
561,3,5,24,38.14666666666667
1578,1,7,25,48.79
1587,2,2,12,11.338619047619048
580,4,12,4,6.515999999999999
2343,1,11,6,1.9943333333333333
1380,4,4,21,6.634499999999999
808,2,12,17,12.352333333333334
2932,6,4,12,5.1360238095238095
1978,3,10,1,3.232333333333334
1700,1,12,34,55.43083333333333
1302,6,11,3,7.986666666666666
1630,0,11,1,2.685
1224,2,5,60,3.2675
1660,0,8,30,4.462119047619048
2221,6,10,8,6.470380952380953
1642,4,4,12,16.09
1125,2,11,8,15.703416666666667
401,0,1,5,4.3035
2894,4,3,96,106.02240476190477
680,1,12,7,5.756380952380953
1679,4,11,1,3.5394087301587303
2944,2,5,1,4.386666666666667
3850,0,12,1,19.567666666666668
1350,4,9,17,13.599833333333333
581,6,9,1,3.4695079365079375
588,3,4,4,8.1555
913,3,8,1,11.053666666666668
1447,3,8,12,7.621
1385,1,8,10,3.6963333333333335
2066,2,11,4,24.29901587301587
85,2,8,2,3.409583333333333
1914,2,6,4,4.294
1170,1,4,1,4.754166666666666
2159,1,6,7,4.731166666666667
3462,2,4,3,2.852166666666667
934,2,4,6,12.370619047619048
1786,4,7,2,3.7617142857142856
753,0,7,6,3.909833333333333
1409,0,1,1,20.598333333333336
3066,3,7,29,23.713777777777782
352,4,9,15,18.104011904761904
1397,4,2,6,10.6295
581,3,12,8,10.921
828,2,10,10,42.02333333333334
2762,1,3,1,2.915666666666666
2859,3,5,2,6.4615
3359,2,1,11,118.62733333333334
1712,4,12,4,2.1716666666666664
1856,1,7,1,36.46116666666667
3000,0,5,20,65.55
1702,3,10,4,2.575214285714286
1535,6,9,19,21.14533333333333
1377,2,7,6,36.80440476190475
169,2,5,40,5.374805555555555
2126,0,10,22,3.1750476190476182
2723,6,1,4,66.45571428571428
300,4,7,32,9.86
2135,6,9,5,13.911888888888884
1684,2,7,12,11.927761904761901
1673,2,6,6,7.361833333333333
737,2,2,1,3.865
623,3,3,50,58.10119047619049
1778,3,12,1,8.553452380952379
2091,6,11,12,6.1174880952380954
3412,2,5,53,8.005119047619047
896,3,7,1,23.420357142857153
2966,3,4,1,2.444722222222222
512,1,5,2,10.214642857142856
1136,2,10,16,20.524880952380954
1309,4,8,4,7.057
1582,2,4,12,57.31508333333334
1458,3,5,6,20.630166666666675
471,3,9,2,9.570714285714285
1660,6,8,1,2.6418333333333335
768,0,6,57,19.4535
436,2,10,60,54.30733333333335
1781,3,1,36,27.331999999999994
1082,2,7,11,9.812428571428574
1568,3,1,18,8.5945
656,1,3,1,5.42
1561,6,12,6,2.6145981240981233
1164,3,10,120,23.796595238095232
1209,6,7,2,1.57
1407,3,4,30,31.634119047619052
1471,6,10,78,27.9945
1373,2,11,1,1.1069444444444445
1936,1,10,33,12.705571428571426
1267,1,1,20,33.242888888888885
651,2,5,24,4.255571428571428
78,2,7,108,162.8275
1937,4,11,7,15.868690476190475
1805,0,11,6,35.065619047619045
2720,2,9,1,8.531666666666668
156,6,11,3,2.418333333333333
1849,6,7,2,2.5624047619047623
286,1,11,1,56.33689285714286
2813,1,1,1,1.8
1726,6,8,1,27.21
1306,3,4,21,60.99453571428572
635,2,11,2,6.633333333333335
1620,0,10,2,3.676432539682539
1817,4,2,6,11.828
2696,3,12,1,25.563904761904766
1591,0,1,9,11.740499999999999
2688,4,12,11,30.72222619047619
126,0,11,1,1.8016666666666667
902,6,3,4,14.971499999999999
1071,4,10,24,25.649880952380954
1410,2,4,1,39.06999999999999
2867,1,1,15,10.398833333333332
2036,0,8,6,49.596000000000004
2393,4,11,30,18.356761904761907
1107,2,2,2,3.786666666666666
1193,1,4,6,13.800444444444443
19,0,5,5,13.252484126984127
1223,3,4,1,4.470166666666667
554,2,7,48,18.399888888888892
909,1,9,10,20.993892857142853
501,2,3,1,4.84
2048,2,11,44,43.0355
868,3,8,2,7.895333333333334
3108,1,7,6,21.25
808,3,8,6,29.084333333333333
845,2,11,2,6.76
1197,4,1,6,18.910714285714285
1591,1,12,1,6.223333333333333
2226,6,12,1,2.2613333333333334
566,6,11,1,13.015999999999998
1975,3,6,7,5.89
3136,6,10,48,4.470797619047619
1010,1,11,6,12.643333333333334
1071,1,12,4,12.961500000000001
1325,0,12,26,8.028904761904762
2099,6,10,2,1.682
1426,6,9,7,17.926011904761904
27,2,6,1,2.681666666666666
504,3,11,12,54.1225
1204,2,2,1,1.4158333333333335
1471,2,11,75,7.132222222222224
1556,1,11,1,1.3191666666666666
1754,1,4,12,24.73166666666667
1994,3,8,12,25.066666666666666
151,2,2,6,4.227666666666667
1061,1,4,9,11.792333333333332
1268,2,11,9,6.222976190476192
1589,1,12,9,17.873873015873013
3206,0,9,12,17.392
2011,2,10,48,13.318833333333332
2135,1,6,18,25.104583333333334
2188,1,8,4,7.580833333333332
1290,2,9,1,3.415
1410,6,7,24,14.137357142857143
2094,0,8,12,20.327103174603177
405,6,5,1,12.477761904761907
514,0,12,1,8.303666666666667
1672,3,10,7,9.570261904761903
3374,1,1,1,15.703166666666661
1426,2,4,1,4.426357142857143
2309,3,12,13,26.72166666666667
1300,6,10,2,6.5125
149,0,12,2,9.962261904761904
1468,2,1,3,9.98
1225,6,2,2,4.312499999999999
928,2,9,50,2.9266547619047616
1444,2,10,1,34.886809523809525
2859,6,6,17,3.313380952380952
1883,6,11,8,8.45
1023,3,11,5,5.682250000000002
1891,3,6,54,20.791999999999998
908,1,2,1,7.581952380952381
1167,2,3,2,7.1605952380952385
3687,0,2,1,1.31
1224,0,5,1,11.725833333333334
1871,4,9,9,3.3626666666666667
1194,2,11,3,52.41166666666667
2852,0,9,5,15.75485714285714
2082,1,5,25,50.31249999999999
2654,4,11,3,14.974880952380952
603,6,12,1,4.329166666666667
2183,3,11,14,10.717250000000002
1679,2,11,12,6.828412698412697
3393,4,8,7,7.370000000000001
3334,6,7,8,2.6542142857142856
3340,3,4,7,2.5510714285714284
491,1,7,72,26.88388888888889
3211,4,11,1,6.0713333333333335
1094,4,10,4,12.529333333333332
1595,0,7,7,7.1440595238095215
2437,2,10,1,1.24
2978,3,1,1,15.496666666666663
268,4,7,7,10.21642857142857
3209,3,12,82,59.654738095238116
1710,0,9,4,2.3789682539682544
3568,1,12,1,1.25
2505,1,8,30,25.52
1529,0,5,2,3.0456666666666665
841,4,11,6,7.186222222222223
3055,2,4,1,1.6243333333333332
676,3,1,12,8.204
3460,4,10,12,41.992511904761905
1553,1,3,7,2.4658333333333338
1778,4,12,12,12.118809523809523
1577,0,12,25,61.99735714285715
15,2,4,6,5.6339999999999995
1075,1,8,2,5.739357142857143
1562,3,2,24,171.75285714285718
620,3,3,25,30.00109126984127
349,1,8,36,77.36309523809524
2131,3,11,5,52.254444444444445
3650,4,7,2,2.0883333333333334
882,1,6,2,8.355
2176,6,10,1,4.884333333333333
1500,1,8,6,4.397714285714286
536,3,11,2,14.42
1946,3,5,4,4.1693333333333324
768,3,4,16,10.885000000000002
1589,4,3,9,18.8015873015873
1585,1,12,3,13.764000000000001
1217,1,1,16,8.961666666666666
443,0,1,3,6.344166666666666
1812,3,3,48,16.992166666666666
717,6,10,6,5.8604642857142855
1872,1,7,6,2.8241666666666667
1538,6,10,2,8.4125
1634,6,1,12,9.833722222222224
1533,1,1,2,11.733333333333334
1554,2,8,1,9.930277777777778
535,2,11,3,1.76
209,2,11,2,2.966047619047619
1715,3,3,10,5.656666666666667
2696,2,1,2,11.469095238095237
1621,3,3,1,10.503142857142857
268,3,12,42,20.51006926406927
986,4,8,12,5.885833333333332
648,1,1,2,7.294642857142856
3364,1,12,48,7.722333333333332
1249,1,11,51,71.0032976190476
1715,6,12,2,2.988888888888889
1432,6,1,7,18.77946969696969
176,3,5,23,21.535999999999998
1070,4,10,8,31.055000000000003
1444,1,4,5,7.889166666666666
1583,1,3,12,66.38433333333333
1302,0,10,29,26.656611111111115
803,1,5,13,3.8497380952380933
1866,3,9,7,9.575333333333333
1431,3,12,25,8.941583333333334
2671,4,7,1,3.464547619047619
1193,0,11,25,3.915
2686,0,2,2,2.3736666666666664
2032,1,5,12,26.638117243867242
2660,6,11,2,4.128857142857143
2038,3,8,33,17.023452380952378
1349,1,10,25,17.373
445,1,11,1,2.9671666666666665
2285,1,11,2,1.9278333333333333
1644,0,9,18,1.6100000000000003
1829,4,2,48,32.00910714285714
1441,1,3,32,2.499678571428572
554,2,3,12,35.553333333333335
1364,3,4,1,2.116857142857143
1468,4,3,13,12.874095238095233
3300,1,1,1,5.468833333333333
137,3,8,12,102.92
3206,3,4,12,24.20116666666667
3012,2,8,9,16.223166666666668
1332,2,10,1,8.498333333333333
371,4,9,9,5.320190476190476
1806,3,8,144,57.623999999999995
2143,4,11,1,4.798
2758,0,1,2,2.53
130,3,11,1,1.666357142857143
973,3,5,8,6.7814047619047635
1427,4,11,22,15.488166666666666
282,1,1,4,6.37
1400,1,12,12,2.860833333333334
942,1,2,1,6.3854999999999995
334,0,1,12,54.86833333333333
2159,3,7,3,8.85
768,3,12,444,26.206595238095233
1836,6,12,24,13.396190476190476
3322,3,5,12,7.5726071428571435
2272,6,10,20,13.45375
323,0,1,1,10.971499999999999
1552,6,9,1,1.7586666666666668
13,1,9,1,10.26
1196,4,3,2,14.538619047619047
1313,1,1,5,2.4665
2533,1,11,80,75.19876190476191
1125,4,1,13,12.370333333333333
3007,4,8,3,2.4341666666666666
1491,4,4,1,4.491833333333333
294,0,5,12,11.750666666666666
1712,0,10,4,1.4697619047619048
887,2,9,12,15.88243650793651
1796,3,9,6,2.32
1426,3,6,12,16.87107142857143
880,1,12,1,5.137492063492064
177,1,10,36,59.68741666666667
2856,4,3,4,7.459833333333333
466,1,8,1,2.4886666666666666
496,1,7,10,28.201333333333327
435,6,11,2,15.661071428571427
901,3,7,27,6.43125
486,0,10,1,29.52133333333333
1009,6,11,15,1.3257579365079364
802,3,11,1,1.8552380952380956
1620,6,10,2,3.4545873015873014
1776,1,7,36,22.51838095238095
544,0,1,1,1.04
925,4,5,1,33.97516666666667
2032,3,11,3,19.12695238095238
3214,2,1,1,3.0283333333333333
804,3,4,12,9.298833333333333
323,4,10,5,16.252000000000002
12,0,7,149,145.08938095238094
1829,1,5,1,28.907142857142844
905,1,7,4,17.168285714285716
1581,1,6,1,63.432333333333325
2044,3,9,1,18.211833333333335
2126,2,11,5,7.476404761904764
2146,2,10,6,221.3141428571429
177,3,1,11,51.79966666666666
3803,6,10,5,1.19
1618,1,6,3,2.7875
974,4,11,4,9.1515
1103,3,11,3,11.40947619047619
2049,4,10,2,18.215357142857144
1428,1,2,5,7.971333333333333
364,0,12,22,26.36421428571428
1798,3,10,1,8.540499999999998
96,3,8,25,9.985
2777,3,3,1,2.7698333333333327
1559,3,8,2,38.13283333333333
939,6,3,2,1.913
1101,1,1,4,2.217888888888889
2147,2,7,144,120.18133333333333
3209,0,10,144,17.30783333333333
1809,2,8,48,8.827738095238097
2013,2,6,1,6.825793650793651
1295,2,3,12,7.893690476190476
335,3,8,1,14.662666666666667
117,6,10,3,4.25
2175,2,8,2,2.915
322,0,12,28,18.788724025974023
2206,2,10,60,23.196190476190477
2646,3,9,24,45.179619047619056
2097,3,7,24,16.535166666666665
1798,0,10,1,5.525527472527473
1978,1,5,6,5.059666666666667
2158,3,11,17,25.826166666666662
2193,2,9,6,18.192333333333334
2932,2,1,68,20.74914285714286
1650,6,8,1,3.1
332,4,7,1,2.12
1438,6,10,1,1.9418690476190474
653,3,12,6,4.864833333333333
1863,2,10,1,14.179166666666664
196,2,8,1,4.303333333333333
2932,2,12,41,19.138071428571433
1769,4,7,1,23.371
503,0,4,1,7.7988333333333335
650,3,1,17,3.425166666666667
1111,3,4,2,3.85
1101,6,2,1,1.9516666666666667
817,0,12,1,6.7506666666666675
3442,0,1,23,10.108666666666666
1767,2,8,12,7.064500000000002
2265,3,10,48,26.041047619047617
2561,6,11,4,9.223333333333333
504,1,1,144,24.050238095238093
268,2,4,34,19.60657142857143
1316,3,10,1,2.33252380952381
3255,1,10,4,7.0989523809523805
1766,2,4,1,6.169833333333333
1338,0,3,1,5.506
3250,6,6,1,13.35983333333333
166,2,5,123,56.82708333333334
1305,4,10,1,5.767904761904762
1602,2,9,15,30.465
2920,3,4,9,5.839000000000001
1581,1,11,12,38.48797619047618
2852,3,6,72,24.70010317460317
3471,4,9,24,38.77
1364,6,7,2,1.9935
1983,0,10,104,2.382333333333334
910,2,4,4,9.625023809523812
186,4,1,18,5.405357142857143
1091,4,1,1,1.9983333333333335
437,3,8,24,55.27832142857144
1552,1,1,1,2.8606666666666665
546,2,2,60,18.826857142857143
1498,3,12,4,3.565380952380951
2330,2,12,5,14.343
997,0,4,1,6.895523809523809
1401,1,1,3,5.403166666666667
1788,6,4,7,4.318333333333333
2883,1,12,130,48.148
896,4,12,5,9.064785714285712
3134,1,7,1,3.1315595238095244
1294,0,6,10,28.028492063492063
332,3,4,1,2.9219999999999997
1772,2,1,1,7.916928571428571
1189,3,6,48,7.941749999999998
2272,0,11,20,27.16
150,0,11,54,7.20204761904762
1139,1,3,24,38.40844047619048
2235,4,10,5,3.2688571428571422
695,2,6,12,13.612166666666669
2698,0,7,15,13.256904761904762
402,1,5,3,13.726880952380954
285,3,10,120,110.19928571428572
1475,6,10,19,7.2339166666666666
3464,2,2,6,14.0145
2932,3,10,31,21.795547619047625
2734,0,3,6,10.44
1765,2,2,1,5.540333333333333
1529,3,4,10,2.7233333333333336
1459,1,7,1,12.107833333333334
803,0,2,172,11.484083333333336
1241,1,5,10,82.99083333333333
2133,1,11,20,23.553214285714283
299,2,3,1,6.635
3639,1,7,1,1.02
1269,0,12,20,5.2880119047619045
3361,3,1,11,10.194523809523812
2617,0,8,2,1.709
1357,3,5,5,7.218166666666666
852,3,6,6,22.547904761904764
522,1,12,7,3.5454999999999997
3651,0,12,1,1.1173333333333333
1427,3,5,108,4.645666666666667
347,2,12,50,11.067333333333334
2777,2,4,1,1.819
1528,3,5,131,76.70159523809524
2855,2,2,2,6.878309523809521
1612,3,12,1,7.105500000000001
550,2,3,145,22.98347619047619
294,2,8,26,8.641190476190477
460,1,1,7,6.565880952380952
2094,0,7,14,12.446333333333337
975,4,2,2,4.793333333333333
1969,2,6,60,112.34233333333333
1217,4,7,2,3.5201666666666664
2172,3,7,55,7.849166666666666
1859,6,8,10,18.59808333333333
2057,4,10,11,10.710857142857144
1081,6,8,3,2.4361666666666664
948,3,5,12,15.476666666666667
3325,6,6,4,9.645666666666667
340,2,9,6,2.1134285714285714
1445,3,8,96,6.316
3092,2,11,20,14.009047619047617
946,1,6,1,26.10761904761906
291,2,4,19,21.238000000000003
1568,4,9,11,24.154396825396827
587,4,10,2,2.2936666666666663
1079,0,3,2,4.9887500000000005
890,0,2,6,1.7803333333333335
2267,2,9,17,8.057333333333332
594,1,3,1,4.393166666666666
1270,1,9,10,6.333428571428572
1053,4,5,6,10.461333333333334
1646,0,3,5,9.008333333333333
949,0,10,12,18.598031746031747
1964,0,10,1,2.0933333333333333
148,4,10,7,7.676166666666667
1010,2,5,73,15.5475
1152,2,12,36,22.354333333333333
1366,3,12,1,1.8043928571428567
3426,3,11,12,5.658333333333334
1053,2,11,13,14.88584523809524
1473,0,12,6,72.38683333333333
2887,1,9,1,3.0
1206,0,3,1,1.4713333333333332
785,2,4,6,5.217666666666666
1250,4,7,6,6.476166666666667
1854,4,10,24,25.223142857142857
937,3,10,1,8.029333333333334
698,1,5,12,11.732666666666667
137,1,11,72,76.11500000000001
3323,2,3,12,5.651666666666666
1438,1,10,5,21.182000000000002
3611,2,10,1,2.34
1170,0,2,7,2.0173333333333336
1812,4,5,48,14.033000000000001
1788,1,3,7,2.3775
1197,0,5,12,48.74483333333333
3231,4,12,2,4.611
909,3,5,12,141.27283333333332
2125,3,6,8,45.736999999999995
2178,6,7,1,2.7
3470,3,7,6,2.125
1459,2,4,24,6.347071428571429
287,1,11,19,50.93060714285714
1220,3,1,1,3.6068571428571436
1959,4,8,1,14.02
1434,0,6,49,19.104333333333333
120,0,2,3,1.8924285714285711
2193,0,9,16,14.512623015873018
451,6,6,104,30.756999999999998
624,2,3,25,93.75297619047619
1349,6,2,14,48.12449999999999
3016,1,1,4,1.8897499999999996
2831,3,6,8,1.9140000000000001
2461,4,1,2,25.16
90,1,1,600,44.9
168,1,5,12,1.4894761904761904
1008,1,7,5,7.229023809523811
467,2,7,6,15.904999999999996
1413,2,7,2,3.0525
1851,2,3,19,6.657166666666667
294,4,2,12,20.4265
1023,1,12,24,11.477857142857145
2157,6,10,28,14.237301587301587
1960,2,8,8,4.336666666666667
2018,4,9,15,32.177063492063475
12,6,6,12,17.551
1019,1,4,6,2.0273333333333334
1125,4,3,14,5.216238095238095
1258,4,11,1,3.75
1044,6,9,12,34.50833333333333
3794,2,11,1,1.42
1025,2,11,1,8.103928571428572
3012,2,12,8,5.271777777777777
2101,3,10,4,5.616499999999999
450,6,1,4,15.94916666666667
1285,2,11,8,18.721261904761906
1054,1,9,24,12.91397619047619
923,6,8,2,4.489571428571428
1302,3,8,65,36.85186904761905
1893,1,12,12,15.254333333333333
